200,1.1428089
210,1.000087961
220,1.035117238
230,1.206391573
240,1.529571667
250,1.458947842
260,1.311340636
270,1.157449506
280,1.215490863
290,1.333954549
300,1.587003709
310,1.615097982
320,1.644050564
330,1.695028479
340,1.781318535
350,1.837713826
360,1.851873609
370,1.87816933
380,2.414019911
390,10.17207487
400,23.47784391
410,33.09550846
420,39.52969038
430,45.06591897
440,49.38907112
450,52.79333546
460,53.86375472
470,53.38802389
480,51.55669014
490,46.3384667
500,38.5316139
510,29.74864234
520,21.09765552
530,13.94001589
540,10.15169029
550,7.388003783
560,4.696293369
570,2.97146143
580,2.264857081
590,2.042113404
600,1.671211669
610,1.362806228
620,1.288512249
630,1.504392119
640,1.949006973
650,2.547288591
660,3.43264067
670,4.128969516
680,3.26811283
690,1.583185377
700,0.757642244
710,0.299287168
720,0.145059264
730,0.107547344
740,0.076676672
750,0.071406024
760,0.070928064
770,0.061061227
780,0.093008827
790,0.173004787
800,0.682758908
810,0.04192941
820,0.014032323
830,0.007798062
840,0.014764434
850,0.036495388
860,0.004851061
870,0.001469306
880,0.0003409
890,0.000177758
900,0.000185372
910,0.000242534
920,0.00020303
930,0.000417694
940,0.000683213
950,0.000925425
960,0.001648556
970,0.000722616
980,0.00035633
990,0.000340994
1000,0.00032934
1010,0.00027409
1020,0.000522256
1030,0.000834288
1040,0.000961449
1050,0.001905333
1060,0.001679713
1070,0.001560407
1080,0.001046863
1090,0.00193275
1100,0.001454991
