200;0.011765298
210;0.010289568
220;0.010715132
230;0.012654549
240;0.016230478
250;0.015314107
260;0.013278244
270;0.011301504
280;0.011267934
290;0.011428247
300;0.01191024
310;0.009824612
320;0.007953295
330;0.006861021
340;0.006313288
350;0.005804753
360;0.005424249
370;0.005373472
380;0.04
390;0.04
400;0.03
410;0.02
420;0.01
430;0
440;0
450;0
460;0.01
470;0.01
480;0.02
490;0.02
500;0.04
510;0.06
520;0.07
530;0.09
540;0.12
550;0.17
560;0.23
570;0.37
580;0.59
590;0.78
600;0.77
610;0.8
620;0.87
630;0.82
640;0.77
650;0.83
660;0.77
670;0.69
680;0.65
690;0.6
700;0.62
710;0.63
720;0.58
750;0.53
800;0.38
850;0.23
905;0.12
910;2.49E-06
920;1.90E-06
930;4.00E-06
940;6.42E-06
950;9.31E-06
960;1.61E-05
970;7.55E-06
980;3.40E-06
990;3.42E-06
1000;3.18E-06
1010;2.87E-06
1020;4.84E-06
1030;8.06E-06
1040;9.73E-06
1050;1.68E-05
1060;1.65E-05
1070;1.46E-05
1080;1.06E-05
1090;1.88E-05
1100;1.49E-05
